stamp,module,elapsed_ms
1657065602.104279,2.1_gnss_araim,0.649
1657065602.128217,2.2_lidar_araim,0.031
1657065602.128217,2.3_dynamic_al,0.000
1657065602.128217,2.3_state_machine,0.016
1657065602.128217,2.3_integrity_total,0.801
1657065602.128217,1.2_odom_insert_frame,3.171
1657065602.228224,1.1_pointcloud_extract,0.012
1657065602.228224,1.1_cloud_preprocess,0.204
1657065602.228224,1.1_ros_callback_total,0.259
1657065602.228224,1.2_imu_integration,0.073
1657065602.228224,1.2_pointcloud_deskew,0.010
1657065602.228224,1.2_covariance_estimation,0.113
1657065602.228224,1.2_create_factors,0.195
1657065602.228224,1.2_smoother_update,1.993
1657065602.228224,1.3_gnss_injection,0.243
1657065602.228224,1.2_update_frames_calculate_estimate,0.006
1657065602.228224,1.2_update_frames_state_copy,0.003
1657065602.228224,1.2_update_frames_sigma_p,0.040
1657065602.228224,1.2_update_frames_icp_quality,0.167
1657065602.228224,1.2_update_frames,0.322
1657065602.204216,2.1_gnss_araim,0.801
1657065602.228224,2.2_lidar_araim,0.014
1657065602.228224,2.3_dynamic_al,0.000
1657065602.228224,2.3_state_machine,0.014
1657065602.228224,2.3_integrity_total,0.883
1657065602.228224,1.2_odom_insert_frame,4.572
1657065602.328271,1.1_pointcloud_extract,0.029
1657065602.328271,1.1_cloud_preprocess,0.211
1657065602.328271,1.1_ros_callback_total,0.306
1657065602.328271,1.2_imu_integration,0.089
1657065602.328271,1.2_pointcloud_deskew,0.009
1657065602.328271,1.2_covariance_estimation,0.511
1657065602.328271,1.2_create_factors,0.193
1657065602.328271,1.2_smoother_update,0.725
1657065602.328271,1.3_gnss_injection,0.245
1657065602.328271,1.2_update_frames_calculate_estimate,0.006
1657065602.328271,1.2_update_frames_state_copy,0.003
1657065602.328271,1.2_update_frames_sigma_p,0.041
1657065602.328271,1.2_update_frames_icp_quality,0.162
1657065602.328271,1.2_update_frames,0.262
1657065602.304215,2.1_gnss_araim,0.642
1657065602.328271,2.2_lidar_araim,0.017
1657065602.328271,2.3_dynamic_al,0.000
1657065602.328271,2.3_state_machine,0.019
1657065602.328271,2.3_integrity_total,0.744
1657065602.328271,1.2_odom_insert_frame,3.482
1657065602.428275,1.1_pointcloud_extract,0.004
1657065602.428275,1.1_cloud_preprocess,0.210
