stamp,module,elapsed_ms
1657065600.526275,1.1_pointcloud_extract,0.036
1657065600.526275,1.1_cloud_preprocess,1.543
1657065600.526275,1.1_ros_callback_total,1.705
1657065600.526275,1.2_odom_insert_frame,1.409
1657065600.626284,1.1_pointcloud_extract,0.045
1657065600.626284,1.1_cloud_preprocess,1.516
1657065600.626284,1.1_ros_callback_total,1.632
1657065600.626284,1.2_odom_insert_frame,4.911
1657065600.726276,1.1_pointcloud_extract,0.031
1657065600.726276,1.1_cloud_preprocess,1.479
1657065600.726276,1.1_ros_callback_total,1.596
1657065600.726276,1.2_odom_insert_frame,4.519
1657065600.826307,1.1_pointcloud_extract,0.010
1657065600.826307,1.1_cloud_preprocess,1.301
1657065600.826307,1.1_ros_callback_total,1.380
1657065600.826307,1.2_odom_insert_frame,3.715
1657065600.926276,1.1_pointcloud_extract,0.012
1657065600.926276,1.1_cloud_preprocess,1.171
1657065600.926276,1.1_ros_callback_total,1.241
1657065600.926276,1.2_odom_insert_frame,4.459
1657065601.026402,1.1_pointcloud_extract,0.011
1657065601.026402,1.1_cloud_preprocess,1.291
1657065601.026402,1.1_ros_callback_total,1.363
1657065601.026402,1.2_odom_insert_frame,5.326
1657065601.126254,1.1_pointcloud_extract,0.010
1657065601.126254,1.1_cloud_preprocess,1.248
1657065601.126254,1.1_ros_callback_total,1.325
1657065601.126254,1.2_odom_insert_frame,3.446
1657065601.226251,1.1_pointcloud_extract,0.031
1657065601.226251,1.1_cloud_preprocess,1.501
1657065601.226251,1.1_ros_callback_total,1.613
1657065601.226251,1.2_odom_insert_frame,4.294
1657065601.326340,1.1_pointcloud_extract,0.011
1657065601.326340,1.1_cloud_preprocess,1.321
1657065601.326340,1.1_ros_callback_total,1.406
1657065601.326340,1.2_odom_insert_frame,4.495
1657065601.426259,1.1_pointcloud_extract,0.010
1657065601.426259,1.1_cloud_preprocess,1.304
1657065601.426259,1.1_ros_callback_total,1.400
1657065601.426259,1.2_odom_insert_frame,3.665
1657065601.526330,1.1_pointcloud_extract,0.011
1657065601.526330,1.1_cloud_preprocess,1.305
1657065601.526330,1.1_ros_callback_total,1.393
1657065601.526330,1.2_odom_insert_frame,3.884
1657065601.626249,1.1_pointcloud_extract,0.011
1657065601.626249,1.1_cloud_preprocess,1.290
1657065601.626249,1.1_ros_callback_total,1.377
1657065601.626249,1.2_odom_insert_frame,3.693
1657065601.726293,1.1_pointcloud_extract,0.010
1657065601.726293,1.1_cloud_preprocess,1.319
1657065601.726293,1.1_ros_callback_total,1.400
1657065601.726293,1.2_odom_insert_frame,3.410
1657065601.826291,1.1_pointcloud_extract,0.010
1657065601.826291,1.1_cloud_preprocess,1.320
1657065601.826291,1.1_ros_callback_total,1.397
1657065601.826291,1.2_odom_insert_frame,5.165
1657065601.926275,1.1_pointcloud_extract,0.011
1657065601.926275,1.1_cloud_preprocess,1.296
1657065601.926275,1.1_ros_callback_total,1.378
1657065601.926275,1.2_odom_insert_frame,5.314
1657065602.026274,1.1_pointcloud_extract,0.010
1657065602.026274,1.1_cloud_preprocess,1.218
1657065602.026274,1.1_ros_callback_total,1.277
1657065602.026274,1.2_odom_insert_frame,5.342
1657065602.126274,1.1_pointcloud_extract,0.011
1657065602.126274,1.1_cloud_preprocess,1.318
1657065602.126274,1.1_ros_callback_total,1.417
1657065602.126274,1.2_odom_insert_frame,5.324
1657065602.226279,1.1_pointcloud_extract,0.011
1657065602.226279,1.1_cloud_preprocess,1.296
1657065602.226279,1.1_ros_callback_total,1.381
1657065602.226279,1.2_odom_insert_frame,4.243
1657065602.326274,1.1_pointcloud_extract,0.011
1657065602.326274,1.1_cloud_preprocess,1.368
1657065602.326274,1.1_ros_callback_total,1.466
1657065602.326274,1.2_odom_insert_frame,4.465
1657065602.426277,1.1_pointcloud_extract,0.012
1657065602.426277,1.1_cloud_preprocess,1.308
1657065602.426277,1.1_ros_callback_total,1.411
1657065602.426277,1.2_odom_insert_frame,2.514
1657065602.526289,1.1_pointcloud_extract,0.011
1657065602.526289,1.1_cloud_preprocess,1.280
1657065602.526289,1.1_ros_callback_total,1.379
1657065602.526289,1.2_odom_insert_frame,2.893
1657065602.626277,1.1_pointcloud_extract,0.008
1657065602.626277,1.1_cloud_preprocess,1.249
1657065602.626277,1.1_ros_callback_total,1.317
1657065602.626277,1.2_odom_insert_frame,3.372
1657065602.726281,1.1_pointcloud_extract,0.010
1657065602.726281,1.1_cloud_preprocess,1.346
1657065602.726281,1.1_ros_callback_total,1.445
1657065602.726281,1.2_odom_insert_frame,5.250
1657065602.826275,1.1_pointcloud_extract,0.009
1657065602.826275,1.1_cloud_preprocess,1.164
1657065602.826275,1.1_ros_callback_total,1.230
1657065602.826275,1.2_odom_insert_frame,5.263
1657065602.926276,1.1_pointcloud_extract,0.011
1657065602.926276,1.1_cloud_preprocess,1.305
1657065602.926276,1.1_ros_callback_total,1.392
1657065602.926276,1.2_odom_insert_frame,5.355
1657065603.026274,1.1_pointcloud_extract,0.009
1657065603.026274,1.1_cloud_preprocess,1.205
1657065603.026274,1.1_ros_callback_total,1.265
1657065603.026274,1.2_odom_insert_frame,5.255
1657065603.126348,1.1_pointcloud_extract,0.010
1657065603.126348,1.1_cloud_preprocess,1.332
1657065603.126348,1.1_ros_callback_total,3.354
1657065603.126348,1.2_odom_insert_frame,3.198
1657065603.226288,1.1_pointcloud_extract,0.011
1657065603.226288,1.1_cloud_preprocess,1.302
1657065603.226288,1.1_ros_callback_total,1.390
1657065603.226288,1.2_odom_insert_frame,6.180
1657065603.326277,1.1_pointcloud_extract,0.010
1657065603.326277,1.1_cloud_preprocess,1.299
1657065603.326277,1.1_ros_callback_total,1.383
1657065603.326277,1.2_odom_insert_frame,3.571
1657065603.426277,1.1_pointcloud_extract,0.009
1657065603.426277,1.1_cloud_preprocess,1.185
1657065603.426277,1.1_ros_callback_total,1.247
1657065603.426277,1.2_odom_insert_frame,4.894
1657065603.526274,1.1_pointcloud_extract,0.009
1657065603.526274,1.1_cloud_preprocess,1.188
1657065603.526274,1.1_ros_callback_total,1.250
1657065603.526274,1.2_odom_insert_frame,4.087
1657065603.626276,1.1_pointcloud_extract,0.011
1657065603.626276,1.1_cloud_preprocess,1.295
1657065603.626276,1.1_ros_callback_total,1.378
1657065603.626276,1.2_covariance_estimation,0.522
1657065603.626276,1.2_create_factors,0.003
1657065603.626276,1.2_smoother_update,0.141
1657065603.626276,1.2_update_frames_calculate_estimate,0.007
1657065603.626276,1.2_update_frames_state_copy,0.012
1657065603.626276,1.2_update_frames_sigma_p,0.033
1657065603.626276,1.2_update_frames,0.072
1657065603.626276,1.2_odom_insert_frame,10.139
1657065603.726276,1.1_pointcloud_extract,0.011
1657065603.726276,1.1_cloud_preprocess,1.284
1657065603.726276,1.1_ros_callback_total,1.367
1657065603.726276,1.2_imu_integration,0.110
1657065603.726276,1.2_pointcloud_deskew,0.039
1657065603.726276,1.2_covariance_estimation,0.526
1657065603.726276,1.2_create_factors,0.019
1657065603.726276,1.2_smoother_update,0.872
1657065603.726276,1.3_gnss_injection,0.324
1657065603.726276,1.2_update_frames_calculate_estimate,0.003
1657065603.726276,1.2_update_frames_state_copy,0.002
1657065603.726276,1.2_update_frames_sigma_p,0.019
1657065603.726276,1.2_update_frames,0.046
1657065603.699281,2.1_gnss_araim,1.040
1657065603.726276,2.3_dynamic_al,0.001
1657065603.726276,2.3_state_machine,0.001
1657065603.726276,2.3_integrity_total,1.121
1657065603.726276,1.2_odom_insert_frame,3.837
1657065603.826366,1.1_pointcloud_extract,0.011
1657065603.826366,1.1_cloud_preprocess,1.344
1657065603.826366,1.1_ros_callback_total,1.416
1657065603.826366,1.2_imu_integration,0.088
1657065603.826366,1.2_pointcloud_deskew,0.037
1657065603.826366,1.2_covariance_estimation,0.861
1657065603.826366,1.2_create_factors,0.018
1657065603.826366,1.2_smoother_update,1.622
1657065603.826366,1.3_gnss_injection,0.301
1657065603.826366,1.2_update_frames_calculate_estimate,0.004
1657065603.826366,1.2_update_frames_state_copy,0.002
1657065603.826366,1.2_update_frames_sigma_p,0.033
1657065603.826366,1.2_update_frames,0.060
1657065603.799315,2.1_gnss_araim,0.649
1657065603.826366,2.3_dynamic_al,0.000
1657065603.826366,2.3_state_machine,0.000
1657065603.826366,2.3_integrity_total,0.711
1657065603.826366,1.2_odom_insert_frame,4.228
1657065603.926301,1.1_pointcloud_extract,0.011
1657065603.926301,1.1_cloud_preprocess,1.363
1657065603.926301,1.1_ros_callback_total,1.441
1657065603.926301,1.2_imu_integration,0.105
1657065603.926301,1.2_pointcloud_deskew,0.037
1657065603.926301,1.2_covariance_estimation,0.642
1657065603.926301,1.2_create_factors,0.014
1657065603.926301,1.2_smoother_update,1.612
1657065603.926301,1.3_gnss_injection,0.293
1657065603.926301,1.2_update_frames_calculate_estimate,0.005
1657065603.926301,1.2_update_frames_state_copy,0.002
1657065603.926301,1.2_update_frames_sigma_p,0.021
1657065603.926301,1.2_update_frames,0.049
1657065603.899288,2.1_gnss_araim,0.624
1657065603.926301,2.3_dynamic_al,0.000
1657065603.926301,2.3_state_machine,0.000
1657065603.926301,2.3_integrity_total,0.684
1657065603.926301,1.2_odom_insert_frame,3.895
1657065604.026353,1.1_pointcloud_extract,0.011
1657065604.026353,1.1_cloud_preprocess,1.377
1657065604.026353,1.1_ros_callback_total,1.454
1657065604.026353,1.2_imu_integration,0.091
1657065604.026353,1.2_pointcloud_deskew,0.037
1657065604.026353,1.2_covariance_estimation,0.696
1657065604.026353,1.2_create_factors,0.013
1657065604.026353,1.2_smoother_update,2.112
1657065604.026353,1.3_gnss_injection,0.301
1657065604.026353,1.2_update_frames_calculate_estimate,0.006
1657065604.026353,1.2_update_frames_state_copy,0.003
1657065604.026353,1.2_update_frames_sigma_p,0.056
1657065604.026353,1.2_update_frames,0.088
1657065603.999278,2.1_gnss_araim,0.599
1657065604.026353,2.3_dynamic_al,0.000
1657065604.026353,2.3_state_machine,0.000
1657065604.026353,2.3_integrity_total,0.648
1657065604.026353,1.2_odom_insert_frame,4.629
1657065604.126289,1.1_pointcloud_extract,0.011
1657065604.126289,1.1_cloud_preprocess,1.354
1657065604.126289,1.1_ros_callback_total,1.434
1657065604.126289,1.2_imu_integration,0.089
1657065604.126289,1.2_pointcloud_deskew,0.037
1657065604.126289,1.2_covariance_estimation,0.917
1657065604.126289,1.2_create_factors,0.016
1657065604.126289,1.2_smoother_update,3.496
1657065604.126289,1.3_gnss_injection,0.302
1657065604.126289,1.2_update_frames_calculate_estimate,0.007
1657065604.126289,1.2_update_frames_state_copy,0.003
1657065604.126289,1.2_update_frames_sigma_p,0.075
1657065604.126289,1.2_update_frames,0.110
1657065604.099274,2.1_gnss_araim,0.768
1657065604.126289,2.3_dynamic_al,0.000
1657065604.126289,2.3_state_machine,0.000
1657065604.126289,2.3_integrity_total,0.824
1657065604.126289,1.2_odom_insert_frame,6.502
1657065604.226275,1.1_pointcloud_extract,0.011
1657065604.226275,1.1_cloud_preprocess,1.284
1657065604.226275,1.1_ros_callback_total,1.372
1657065604.226275,1.2_imu_integration,0.088
1657065604.226275,1.2_pointcloud_deskew,0.038
1657065604.226275,1.2_covariance_estimation,0.908
1657065604.226275,1.2_create_factors,0.014
1657065604.226275,1.2_smoother_update,4.124
1657065604.226275,1.3_gnss_injection,0.321
1657065604.226275,1.2_update_frames_calculate_estimate,0.008
1657065604.226275,1.2_update_frames_state_copy,0.004
1657065604.226275,1.2_update_frames_sigma_p,0.099
1657065604.226275,1.2_update_frames,0.136
1657065604.199279,2.1_gnss_araim,0.768
1657065604.226275,2.3_dynamic_al,0.000
1657065604.226275,2.3_state_machine,0.000
1657065604.226275,2.3_integrity_total,0.831
1657065604.226275,1.2_odom_insert_frame,7.371
