label	exit_code	command
evidence_contract	0	python3 /home/dev/ws_iap/src/iap/results/icra27/icra030/postrun_audit.py /home/dev/ws_iap/src/iap/results/icra27/icra030/postrun/attempt_01/evidence_contract.json
external_log_identity	0	bash -c $'\n  set -u -o pipefail\n  before_files=$1\n  before_identity=$2\n  after_files=$3\n  after_identity=$4\n  find log -type f -print0 | sort -z | xargs -0 sha256sum > "$after_files"\n  aggregate=$(sha256sum "$after_files" | awk "{print \\$1}")\n  count=$(wc -l < "$after_files")\n  bytes=$(du -sb log | awk "{print \\$1}")\n  printf "aggregate=%s count=%s bytes=%s\\n" "$aggregate" "$count" "$bytes" \\\n    > "$after_identity"\n  cmp "$before_files" "$after_files"\n  cmp "$before_identity" "$after_identity"\n  printf "external_log_identity_unchanged=1\\n"\n' _ /home/dev/ws_iap/src/iap/results/icra27/icra030/prechecks/attempt_01/external_log_before_files.sha256 /home/dev/ws_iap/src/iap/results/icra27/icra030/prechecks/attempt_01/external_log_before_identity.txt /home/dev/ws_iap/src/iap/results/icra27/icra030/postrun/attempt_01/external_log_after_files.sha256 /home/dev/ws_iap/src/iap/results/icra27/icra030/postrun/attempt_01/external_log_after_identity.txt
retained_hashes	0	bash -c $'\n  printf "%s  %s\\n" \\\n    92754f9fdc7a1a7492c3cc895ca112adc0a121a025ca5756b259378edd0f616f results/icra27/icra028/install/lib/libiap.so \\\n    360cf23a8d4b1f2add6a5e1f59f47d936039b3ca61aee1bde0a644c542f46447 results/icra27/icra026/install_plan_env/lib/libplan_env.so \\\n    | sha256sum -c -\n'
task_process_audit	0	bash -c $'\n  set -u -o pipefail\n  task_root=$1\n  declare -A excluded=()\n  ancestor=$$\n  while [ "$ancestor" -gt 1 ] && [ -r "/proc/$ancestor/stat" ]; do\n    excluded[$ancestor]=1\n    ancestor=$(awk "{print \\$4}" "/proc/$ancestor/stat")\n  done\n  matches=0\n  for proc_path in /proc/[0-9]*; do\n    pid=${proc_path#/proc/}\n    [ -n "${excluded[$pid]:-}" ] && continue\n    [ -r "$proc_path/cmdline" ] || continue\n    cmdline=$(tr "\\0" " " < "$proc_path/cmdline" 2>/dev/null) || continue\n    case "$cmdline" in\n      *"$task_root"*)\n        printf "%s\\t%s\\n" "$pid" "$cmdline"\n        matches=$((matches + 1))\n        ;;\n    esac\n  done\n  printf "task_process_matches=%d\\n" "$matches"\n  test "$matches" -eq 0\n' _ /home/dev/ws_iap/src/iap/results/icra27/icra030
canonical_hashes	0	sha256sum /home/dev/ws_iap/src/iap/results/icra27/icra030/runs/gpu_preflight.json /home/dev/ws_iap/src/iap/results/icra27/icra030/runs/launch_dependency_preflight.json /home/dev/ws_iap/src/iap/results/icra27/icra030/runs/smoke/capture_ready.json /home/dev/ws_iap/src/iap/results/icra27/icra030/runs/smoke/gate0_run_manifest.json /home/dev/ws_iap/src/iap/results/icra27/icra030/runs/smoke/risk_grid_health.jsonl /home/dev/ws_iap/src/iap/results/icra27/icra030/runs/smoke/integrity_report.jsonl /home/dev/ws_iap/src/iap/results/icra27/icra030/runs/smoke/analyzer/gate0_analysis.json /home/dev/ws_iap/src/iap/results/icra27/icra030/runs/smoke/analyzer/p0_smoke_summary.json /home/dev/ws_iap/src/iap/results/icra27/icra030/runs/smoke/analyzer/p0_smoke_benchmark.csv /home/dev/ws_iap/src/iap/results/icra27/icra030/runs/smoke/analyzer/effective_config.json
