stamp,module,elapsed_ms
1657065600.530233,1.1_pointcloud_extract,0.042
1657065600.530233,1.1_cloud_preprocess,1.594
1657065600.530233,1.1_ros_callback_total,1.751
1657065600.530233,1.2_odom_insert_frame,1.451
1657065600.631227,1.1_pointcloud_extract,0.031
1657065600.631227,1.1_cloud_preprocess,1.503
1657065600.631227,1.1_ros_callback_total,1.614
1657065600.631227,1.2_odom_insert_frame,10.280
1657065600.730220,1.1_pointcloud_extract,0.010
1657065600.730220,1.1_cloud_preprocess,1.301
1657065600.730220,1.1_ros_callback_total,1.371
1657065600.730220,1.2_odom_insert_frame,5.382
1657065600.831397,1.1_pointcloud_extract,0.036
1657065600.831397,1.1_cloud_preprocess,1.590
1657065600.831397,1.1_ros_callback_total,1.699
1657065600.831397,1.2_odom_insert_frame,4.448
1657065600.930254,1.1_pointcloud_extract,0.011
1657065600.930254,1.1_cloud_preprocess,1.269
1657065600.930254,1.1_ros_callback_total,1.342
1657065600.930254,1.2_odom_insert_frame,3.657
1657065601.031287,1.1_pointcloud_extract,0.010
1657065601.031287,1.1_cloud_preprocess,1.319
1657065601.031287,1.1_ros_callback_total,1.393
1657065601.031287,1.2_odom_insert_frame,4.467
1657065601.130281,1.1_pointcloud_extract,0.010
1657065601.130281,1.1_cloud_preprocess,1.257
1657065601.130281,1.1_ros_callback_total,1.323
1657065601.130281,1.2_odom_insert_frame,4.478
1657065601.231274,1.1_pointcloud_extract,0.010
1657065601.231274,1.1_cloud_preprocess,1.356
1657065601.231274,1.1_ros_callback_total,1.425
1657065601.231274,1.2_odom_insert_frame,3.097
1657065601.331281,1.1_pointcloud_extract,0.044
1657065601.331281,1.1_cloud_preprocess,1.508
1657065601.331281,1.1_ros_callback_total,1.620
1657065601.331281,1.2_odom_insert_frame,3.031
1657065601.431276,1.1_pointcloud_extract,0.009
1657065601.431276,1.1_cloud_preprocess,1.219
1657065601.431276,1.1_ros_callback_total,1.282
1657065601.431276,1.2_odom_insert_frame,4.078
1657065601.531287,1.1_pointcloud_extract,0.011
1657065601.531287,1.1_cloud_preprocess,1.353
1657065601.531287,1.1_ros_callback_total,1.443
1657065601.531287,1.2_odom_insert_frame,3.021
1657065601.630273,1.1_pointcloud_extract,0.009
1657065601.630273,1.1_cloud_preprocess,1.168
1657065601.630273,1.1_ros_callback_total,1.227
1657065601.630273,1.2_odom_insert_frame,3.789
1657065601.731347,1.1_pointcloud_extract,0.011
1657065601.731347,1.1_cloud_preprocess,1.282
1657065601.731347,1.1_ros_callback_total,1.375
1657065601.731347,1.2_odom_insert_frame,5.020
1657065601.831262,1.1_pointcloud_extract,0.009
1657065601.831262,1.1_cloud_preprocess,1.240
1657065601.831262,1.1_ros_callback_total,1.308
1657065601.831262,1.2_odom_insert_frame,3.488
1657065601.931225,1.1_pointcloud_extract,0.009
1657065601.931225,1.1_cloud_preprocess,1.208
1657065601.931225,1.1_ros_callback_total,1.275
1657065601.931225,1.2_odom_insert_frame,5.031
1657065602.031221,1.1_pointcloud_extract,0.009
1657065602.031221,1.1_cloud_preprocess,1.211
1657065602.031221,1.1_ros_callback_total,1.280
1657065602.031221,1.2_odom_insert_frame,3.141
1657065602.130236,1.1_pointcloud_extract,0.011
1657065602.130236,1.1_cloud_preprocess,1.303
1657065602.130236,1.1_ros_callback_total,1.384
1657065602.130236,1.2_odom_insert_frame,3.229
1657065602.231291,1.1_pointcloud_extract,0.009
1657065602.231291,1.1_cloud_preprocess,1.210
1657065602.231291,1.1_ros_callback_total,1.305
1657065602.231291,1.2_odom_insert_frame,3.504
1657065602.331275,1.1_pointcloud_extract,0.010
1657065602.331275,1.1_cloud_preprocess,1.289
1657065602.331275,1.1_ros_callback_total,1.369
1657065602.331275,1.2_odom_insert_frame,2.803
1657065602.431282,1.1_pointcloud_extract,0.012
1657065602.431282,1.1_cloud_preprocess,1.270
1657065602.431282,1.1_ros_callback_total,1.354
1657065602.431282,1.2_odom_insert_frame,3.398
1657065602.531235,1.1_pointcloud_extract,0.011
1657065602.531235,1.1_cloud_preprocess,1.300
1657065602.531235,1.1_ros_callback_total,1.389
1657065602.531235,1.2_odom_insert_frame,4.248
1657065602.631329,1.1_pointcloud_extract,0.013
1657065602.631329,1.1_cloud_preprocess,1.280
1657065602.631329,1.1_ros_callback_total,1.361
1657065602.631329,1.2_odom_insert_frame,4.357
1657065602.730227,1.1_pointcloud_extract,0.011
1657065602.730227,1.1_cloud_preprocess,1.292
