run_id,planning_attempt_id,collision_segments,generated,optimizer_input,optimizer_success,original_candidate_id,selected_candidate_id,selected_reached_downstream,normal_bspline_publish_count,critical_violation,critical_reasons,qualified,candidate_id,candidate_optimizer_success,original_cost,final_cost,is_original,is_selected
flat-null-r2,5,0,1,1,1,1,1,True,5,False,,False,1,True,0.029776050198765544,0.029776050198765544,True,True
flat-null-r2,6,0,1,1,1,1,1,True,6,False,,False,1,True,0.035918913280791,0.035918913280791,True,True
flat-null-r2,7,0,1,1,1,1,1,True,7,False,,False,1,True,0.0345588678007055,0.0345588678007055,True,True
flat-null-r2,8,0,1,1,1,1,1,True,8,False,,False,1,True,0.037771373003146175,0.037771373003146175,True,True
flat-null-r2,9,0,1,1,1,1,1,True,9,False,,False,1,True,0.02259018234024357,0.02259018234024357,True,True
flat-null-r2,10,0,1,1,1,1,1,True,10,False,,False,1,True,0.015799375050585554,0.015799375050585554,True,True
flat-null-r2,11,0,1,1,1,1,1,True,11,False,,False,1,True,0.016181646571997072,0.016181646571997072,True,True
flat-null-r2,12,0,1,1,1,1,1,True,12,False,,False,1,True,0.01405512594284186,0.01405512594284186,True,True
flat-null-r2,13,0,1,1,1,1,1,True,13,False,,False,1,True,0.014860429898641302,0.014860429898641302,True,True
flat-null-r2,14,0,1,1,1,1,1,True,14,False,,False,1,True,0.014514845765966448,0.014514845765966448,True,True
flat-null-r2,15,0,1,1,1,1,1,True,15,False,,False,1,True,0.01810650938841149,0.01810650938841149,True,True
flat-null-r2,16,0,1,1,1,1,1,True,16,False,,False,1,True,0.022690306031408057,0.022690306031408057,True,True
flat-null-r2,17,0,1,1,1,1,1,True,17,False,,False,1,True,0.00945375311033097,0.00945375311033097,True,True
flat-null-r2,18,0,1,1,1,1,1,True,18,False,,False,1,True,0.007659893005797991,0.007659893005797991,True,True
flat-null-r2,19,0,1,1,1,1,1,True,19,False,,False,1,True,0.00848477868044487,0.00848477868044487,True,True
flat-null-r2,20,0,1,1,1,1,1,True,20,False,,False,1,True,0.010907519896606705,0.010907519896606705,True,True
flat-null-r2,21,0,1,1,1,1,1,True,21,False,,False,1,True,0.016003163850126963,0.016003163850126963,True,True
flat-null-r2,22,0,1,1,1,1,1,True,22,False,,False,1,True,0.003914957159759242,0.003914957159759242,True,True
flat-null-r2,23,0,1,1,1,1,1,True,23,False,,False,1,True,0.005004440367268392,0.005004440367268392,True,True
flat-null-r2,24,0,1,1,1,1,1,True,24,False,,False,1,True,0.0031048766627594267,0.0031048766627594267,True,True
flat-null-r2,25,0,1,1,1,1,1,True,25,False,,False,1,True,0.004591679234335744,0.004591679234335744,True,True
flat-null-r2,26,0,1,1,1,1,1,True,26,False,,False,1,True,0.010118193138322459,0.010118193138322459,True,True
flat-null-r2,27,0,1,1,1,1,1,True,27,False,,False,1,True,0.039218000823860164,0.039218000823860164,True,True
flat-null-r2,28,0,1,1,1,1,1,True,28,False,,False,1,True,0.02253315450283136,0.02253315450283136,True,True
flat-null-r2,29,0,1,1,1,1,1,True,29,False,,False,1,True,0.036746692229934194,0.036746692229934194,True,True
flat-null-r2,30,0,1,1,1,1,1,True,30,False,,False,1,True,0.021238430830609726,0.021238430830609726,True,True
flat-null-r2,31,0,1,1,1,1,1,True,31,False,,False,1,True,0.034832334938647874,0.034832334938647874,True,True
flat-null-r2,32,0,1,1,1,1,1,True,32,False,,False,1,True,0.01978871507162716,0.01978871507162716,True,True
flat-null-r2,33,0,1,1,1,1,1,True,33,False,,False,1,True,0.03267112744281869,0.03267112744281869,True,True
flat-null-r2,34,0,1,1,1,1,1,True,34,False,,False,1,True,0.018364595442750695,0.018364595442750695,True,True
flat-null-r2,35,0,1,1,1,1,1,True,35,False,,False,1,True,0.02970227771829921,0.02970227771829921,True,True
flat-null-r2,36,0,1,1,1,1,1,True,36,False,,False,1,True,0.015955415423909127,0.015955415423909127,True,True
flat-null-r2,37,0,1,1,1,1,1,True,37,False,,False,1,True,0.024748597262117332,0.024748597262117332,True,True
flat-null-r2,38,0,1,1,1,1,1,True,38,False,,False,1,True,0.036743010543036955,0.036743010543036955,True,True
flat-null-r2,39,0,1,1,1,1,1,True,39,False,,False,1,True,0.01469281612508025,0.01469281612508025,True,True
flat-null-r2,40,0,1,1,1,1,1,True,40,False,,False,1,True,0.00865560148221528,0.00865560148221528,True,True
flat-null-r2,41,0,1,1,1,1,1,True,41,False,,False,1,True,0.020507668794633588,0.020507668794633588,True,True
flat-null-r2,42,0,1,1,1,1,1,True,42,False,,False,1,True,0.027853144732289222,0.027853144732289222,True,True
flat-null-r3,1,0,1,1,1,1,1,True,1,False,,False,1,True,0.4470551300348624,0.4470551300348624,True,True
flat-null-r3,2,0,1,1,1,1,1,True,2,False,,False,1,True,0.12273029824321241,0.12273029824321241,True,True
flat-null-r3,3,0,1,1,1,1,1,True,3,False,,False,1,True,0.0537246807085285,0.0537246807085285,True,True
flat-null-r3,4,0,1,1,1,1,1,True,4,False,,False,1,True,0.04496736648253555,0.04496736648253555,True,True
flat-null-r3,5,0,1,1,1,1,1,True,5,False,,False,1,True,0.030713791698658486,0.030713791698658486,True,True
flat-null-r3,6,0,1,1,1,1,1,True,6,False,,False,1,True,0.037156305418094254,0.037156305418094254,True,True
flat-null-r3,7,0,1,1,1,1,1,True,7,False,,False,1,True,0.03573215255913038,0.03573215255913038,True,True
flat-null-r3,8,0,1,1,1,1,1,True,8,False,,False,1,True,0.022680924849247375,0.022680924849247375,True,True
flat-null-r3,9,0,1,1,1,1,1,True,9,False,,False,1,True,0.023828659893463472,0.023828659893463472,True,True
flat-null-r3,10,0,1,1,1,1,1,True,10,False,,False,1,True,0.02191486196066427,0.02191486196066427,True,True
flat-null-r3,11,0,1,1,1,1,1,True,11,False,,False,1,True,0.026322336559447698,0.026322336559447698,True,True
flat-null-r3,12,0,1,1,1,1,1,True,12,False,,False,1,True,0.014333013993460347,0.014333013993460347,True,True
flat-null-r3,13,0,1,1,1,1,1,True,13,False,,False,1,True,0.01510670697782611,0.01510670697782611,True,True
flat-null-r3,14,0,1,1,1,1,1,True,14,False,,False,1,True,0.015647423522468274,0.015647423522468274,True,True
flat-null-r3,15,0,1,1,1,1,1,True,15,False,,False,1,True,0.019678250076652658,0.019678250076652658,True,True
flat-null-r3,16,0,1,1,1,1,1,True,16,False,,False,1,True,0.024338195728513062,0.024338195728513062,True,True
flat-null-r3,17,0,1,1,1,1,1,True,17,False,,False,1,True,0.010124774405648337,0.010124774405648337,True,True
flat-null-r3,18,0,1,1,1,1,1,True,18,False,,False,1,True,0.008116929892802622,0.008116929892802622,True,True
flat-null-r3,19,0,1,1,1,1,1,True,19,False,,False,1,True,0.009273648883120867,0.009273648883120867,True,True
flat-null-r3,20,0,1,1,1,1,1,True,20,False,,False,1,True,0.012270235195988702,0.012270235195988702,True,True
flat-null-r3,21,0,1,1,1,1,1,True,21,False,,False,1,True,0.017850190789933447,0.017850190789933447,True,True
flat-null-r3,22,0,1,1,1,1,1,True,22,False,,False,1,True,0.004874726692436849,0.004874726692436849,True,True
flat-null-r3,23,0,1,1,1,1,1,True,23,False,,False,1,True,0.006030367989853146,0.006030367989853146,True,True
flat-null-r3,24,0,1,1,1,1,1,True,24,False,,False,1,True,0.014328431099327785,0.014328431099327785,True,True
flat-null-r3,25,0,1,1,1,1,1,True,25,False,,False,1,True,0.005823711601417293,0.005823711601417293,True,True
flat-null-r3,26,0,1,1,1,1,1,True,26,False,,False,1,True,0.009590669808498799,0.009590669808498799,True,True
flat-null-r3,27,0,1,1,1,1,1,True,27,False,,False,1,True,0.037014520791519616,0.037014520791519616,True,True
flat-null-r3,28,0,1,1,1,1,1,True,28,False,,False,1,True,0.02099515947511562,0.02099515947511562,True,True
flat-null-r3,29,0,1,1,1,1,1,True,29,False,,False,1,True,0.03495069633238517,0.03495069633238517,True,True
flat-null-r3,30,0,1,1,1,1,1,True,30,False,,False,1,True,0.019828535396492368,0.019828535396492368,True,True
flat-null-r3,31,0,1,1,1,1,1,True,31,False,,False,1,True,0.032714993861992614,0.032714993861992614,True,True
flat-null-r3,32,0,1,1,1,1,1,True,32,False,,False,1,True,0.01836326227247243,0.01836326227247243,True,True
flat-null-r3,33,0,1,1,1,1,1,True,33,False,,False,1,True,0.03093881832800559,0.03093881832800559,True,True
flat-null-r3,34,0,1,1,1,1,1,True,34,False,,False,1,True,0.017072057523640636,0.017072057523640636,True,True
flat-null-r3,35,0,1,1,1,1,1,True,35,False,,False,1,True,0.03092195447076082,0.03092195447076082,True,True
flat-null-r3,36,0,1,1,1,1,1,True,36,False,,False,1,True,0.029403030884186634,0.029403030884186634,True,True
flat-null-r3,37,0,1,1,1,1,1,True,37,False,,False,1,True,0.01706532666223449,0.01706532666223449,True,True
flat-null-r3,38,0,1,1,1,1,1,True,38,False,,False,1,True,0.01141042129081907,0.01141042129081907,True,True
flat-null-r3,39,0,1,1,1,1,1,True,39,False,,False,1,True,0.02394461703130878,0.02394461703130878,True,True
flat-null-r3,40,0,1,1,1,1,1,True,40,False,,False,1,True,0.04297076539576716,0.04297076539576716,True,True
flat-null-r3,41,0,1,1,1,1,1,True,41,False,,False,1,True,0.03320858554878035,0.03320858554878035,True,True
flat-null-r3,42,0,1,1,1,1,1,True,42,False,,False,1,True,0.009297779018384699,0.009297779018384699,True,True
mirror-r1,1,0,1,1,1,1,1,True,1,False,,False,1,True,0.4470551300348624,0.4470551300348624,True,True
mirror-r1,2,0,1,1,1,1,1,True,2,False,,False,1,True,0.11509841244839443,0.11509841244839443,True,True
mirror-r1,3,0,1,1,1,1,1,True,3,False,,False,1,True,0.051617664749388156,0.051617664749388156,True,True
mirror-r1,4,0,1,1,1,1,1,True,4,False,,False,1,True,0.03966237735244338,0.03966237735244338,True,True
mirror-r1,5,0,1,1,1,1,1,True,5,False,,False,1,True,0.025678925564281842,0.025678925564281842,True,True
mirror-r1,6,0,1,1,1,1,1,True,6,False,,False,1,True,0.027258052499807915,0.027258052499807915,True,True
mirror-r1,7,0,1,1,1,1,1,True,7,False,,False,1,True,0.033678199725994874,0.033678199725994874,True,True
mirror-r1,8,0,1,1,1,1,1,True,8,False,,False,1,True,0.02048361587037079,0.02048361587037079,True,True
mirror-r1,9,0,1,1,1,1,1,True,9,False,,False,1,True,0.020410587365838367,0.020410587365838367,True,True
mirror-r1,10,0,1,1,1,1,1,True,10,False,,False,1,True,0.02610898069370179,0.02610898069370179,True,True
mirror-r1,11,0,1,1,1,1,1,True,11,False,,False,1,True,0.01427878504175981,0.01427878504175981,True,True
mirror-r1,12,0,1,1,1,1,1,True,12,False,,False,1,True,0.0127862960623113,0.0127862960623113,True,True
mirror-r1,13,0,1,1,1,1,1,True,13,False,,False,1,True,0.013762720242663841,0.013762720242663841,True,True
mirror-r1,14,0,1,1,1,1,1,True,14,False,,False,1,True,0.013442957772631456,0.013442957772631456,True,True
mirror-r1,15,0,1,1,1,1,1,True,15,False,,False,1,True,0.016839534792817253,0.016839534792817253,True,True
mirror-r1,16,0,1,1,1,1,1,True,16,False,,False,1,True,0.021472604231765856,0.021472604231765856,True,True
mirror-r1,17,0,1,1,1,1,1,True,17,False,,False,1,True,0.008792438493179762,0.008792438493179762,True,True
mirror-r1,18,0,1,1,1,1,1,True,18,False,,False,1,True,0.007202411843943771,0.007202411843943771,True,True
mirror-r1,19,0,1,1,1,1,1,True,19,False,,False,1,True,0.008406747442489444,0.008406747442489444,True,True
mirror-r1,20,0,1,1,1,1,1,True,20,False,,False,1,True,0.01053342513695173,0.01053342513695173,True,True
mirror-r1,21,0,1,1,1,1,1,True,21,False,,False,1,True,0.014507312104700994,0.014507312104700994,True,True
mirror-r1,22,0,1,1,1,1,1,True,22,False,,False,1,True,0.004508612145510064,0.004508612145510064,True,True
mirror-r1,23,0,1,1,1,1,1,True,23,False,,False,1,True,0.009138359080707288,0.009138359080707288,True,True
