record_type,path,bytes,type,mtime_utc,age_days,age_bucket,item_count
candidate_file,/home/dev/ws_iap/src/iap/results/araim_validation/real_time_test/test_araim_lidar_feature_rich_20260606T124316Z/test_araim_lidar_feature_rich_20260606T124316Z_0.mcap,1229750986,.mcap,2026-06-06T12:44:26Z,71.270608,31-90d,1
candidate_file,/home/dev/ws_iap/src/iap/results/araim_validation/real_time_test/test_araim_lidar_feature_rich_20260606T135644Z/test_araim_lidar_feature_rich_20260606T135644Z_0.mcap,1705956919,.mcap,2026-06-06T13:58:14Z,71.219353,31-90d,1
candidate_file,/home/dev/ws_iap/src/iap/results/araim_validation/real_time_test/test_araim_lidar_corridor_degenerate_20260606T133253Z/test_araim_lidar_corridor_degenerate_20260606T133253Z_0.mcap,599636952,.mcap,2026-06-06T13:34:05Z,71.236129,31-90d,1
candidate_file,/home/dev/ws_iap/src/iap/results/araim_validation/real_time_test/test_araim_gnss_open_sky_20260604T074459Z_with_constellation_hypo/test_araim_gnss_open_sky_20260604T074459Z_0.mcap,210473843,.mcap,2026-06-04T07:46:07Z,73.477762,31-90d,1
candidate_file,/home/dev/ws_iap/src/iap/results/araim_validation/real_time_test/test_araim_lidar_corridor_degenerate_20260606T140837Z/test_araim_lidar_corridor_degenerate_20260606T140837Z_0.mcap,726536903,.mcap,2026-06-06T14:10:08Z,71.211089,31-90d,1
candidate_file,/home/dev/ws_iap/src/iap/results/araim_validation/real_time_test/test_araim_lidar_corridor_degenerate_20260606T153859Z/test_araim_lidar_corridor_degenerate_20260606T153859Z_0.mcap,569711427,.mcap,2026-06-06T15:40:06Z,71.148615,31-90d,1
candidate_file,/home/dev/ws_iap/src/iap/results/araim_validation/real_time_test/test_araim_gnss_open_sky_20260604T135219Z_without_constellation_hypo/test_araim_gnss_open_sky_20260604T135219Z_0.mcap,226097639,.mcap,2026-06-04T13:53:32Z,73.222618,31-90d,1
candidate_file,/home/dev/ws_iap/src/iap/results/araim_validation/real_time_test/test_araim_lidar_corridor_degenerate_20260607T083328Z/test_araim_lidar_corridor_degenerate_20260607T083328Z_0.mcap,591030634,.mcap,2026-06-07T08:34:39Z,70.444061,31-90d,1
candidate_file,/home/dev/ws_iap/src/iap/results/predictor_validation/predictor_system_predictor_query_latency_stress_run1/export/gnss_epoch_debug.csv,156337616,.csv,2026-06-14T08:52:34Z,63.431622,31-90d,1
candidate_file,/home/dev/ws_iap/src/iap/results/planner_validation/campaigns/p1-2-20260808-d890853-c4/runs/pre_primary_2_reference/exports/test_planner_p1_fork_formal_p1_fork_fused_v1_4148254_1786206776090/planner_p0_occupancy_query_evidence.csv,110909769,.csv,2026-08-08T16:33:47Z,8.111327,7-30d,1
candidate_file,/home/dev/ws_iap/src/iap/results/planner_validation/campaigns/p1-2-20260808-d890853-c4/runs/pre_primary_1_reference/exports/test_planner_p1_fork_formal_p1_fork_fused_v1_4110678_1786206589177/planner_p0_occupancy_query_evidence.csv,121656771,.csv,2026-08-08T16:30:44Z,8.113449,7-30d,1
candidate_file,/home/dev/ws_iap/src/iap/results/planner_validation/campaigns/p1-2-20260808-d890853-c4/runs/pre_null_reference/exports/test_planner_p1_fork_formal_p1_fork_symmetric_null_v1_30932_1786207149207/planner_p0_occupancy_query_evidence.csv,116808855,.csv,2026-08-08T16:40:03Z,8.106976,7-30d,1
