run_id,planning_attempt_id,candidate_id,stage,degree,ts,rows,cols,original_cost,final_cost,sha256,control_points_17g
flat-null-r1,1,1,generated,3,0.4000000000000001,3,30,nan,nan,da951bacfa7462f8f073e4738bd356e37ee8a344ac33d33be85d378e79e23901,"-11.999980303166518,-11.999977530581928,-11.999974626909802,-11.983303234185897,-11.937378719077877,-11.851984524237304,-11.719909405820626,-11.536323153602194,-11.298695585703459,-11.006514976201599,-10.661074960993135,-10.265239146266014,-9.8232127498612059,-9.340312073648116,-8.8227346366544488,-8.2773290981880141,-7.7113652864420104,-7.1323040463286702,-6.5475676540931502,-5.9643083177151217,-5.3891831296543966,-4.8281075031950094,-4.2860793447274963,-3.7667749292121173,-3.2728635821777305,-2.8041368810724485,-2.3619388227725846,-1.9370047580279182,-1.5333778382176118,-1.1371350263519322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4999999152358583,1.4999999150268546,1.4999999148178513,1.4999999146771403,1.4999999146562613,1.4999999147970278,1.4999999151289292,1.4999999156716777,1.4999999164355584,1.4999999174225742,1.4999999186273283,1.4999999200379779,1.499999921637198,1.499999923403097,1.4999999253101832,1.4999999273303104,1.4999999294336013,1.4999999315894166,1.4999999337672889,1.4999999359378702,1.4999999380738647,1.4999999401510267,1.4999999421489074,1.4999999440524918,1.4999999458509095,1.4999999475451535,1.4999999491297851,1.4999999506431101,1.4999999520685148,1.499999953463458"
flat-null-r1,1,1,optimized,3,0.4000000000000001,3,30,0.4470551300348624,0.4470551300348624,bf39b0c7c3de647049bda0581f8e04388b96427883179b051d4b85621757693a,"-11.999980303166518,-11.999977530581928,-11.999974626909802,-12.044030981940484,-12.055868462914146,-11.952706915482686,-11.700509230017296,-11.333010307821956,-10.908035454751898,-10.467642001211921,-10.023570052018229,-9.58037260010002,-9.1438810650693085,-8.7148219838507384,-8.2838832308066728,-7.845727946353052,-7.3991265257238741,-6.9468689579269753,-6.4960561503376697,-6.0473294138129576,-5.5968154920980258,-5.1426106254456503,-4.6758128483089738,-4.1936892806284503,-3.7091362815135853,-3.2301507854268801,-2.7628504183767779,-2.3015616244231203,-1.8582403089289976,-1.4508609611197187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4999999152358583,1.4999999150268546,1.4999999148178513,1.4999999146750458,1.4999999146551566,1.4999999147946252,1.4999999151314132,1.4999999156692601,1.4999999164304367,1.4999999174278833,1.4999999186367086,1.499999920032324,1.4999999216127526,1.4999999234148149,1.4999999253515053,1.4999999273373288,1.4999999293567778,1.4999999315417776,1.4999999338289984,1.4999999360768326,1.4999999381080804,1.4999999400397683,1.4999999419591006,1.4999999439344538,1.4999999458690749,1.4999999477547015,1.4999999495849659,1.4999999513921951,1.4999999530945689,1.4999999546444345"
flat-null-r1,1,1,optimizer_input,3,0.4000000000000001,3,30,nan,nan,da951bacfa7462f8f073e4738bd356e37ee8a344ac33d33be85d378e79e23901,"-11.999980303166518,-11.999977530581928,-11.999974626909802,-11.983303234185897,-11.937378719077877,-11.851984524237304,-11.719909405820626,-11.536323153602194,-11.298695585703459,-11.006514976201599,-10.661074960993135,-10.265239146266014,-9.8232127498612059,-9.340312073648116,-8.8227346366544488,-8.2773290981880141,-7.7113652864420104,-7.1323040463286702,-6.5475676540931502,-5.9643083177151217,-5.3891831296543966,-4.8281075031950094,-4.2860793447274963,-3.7667749292121173,-3.2728635821777305,-2.8041368810724485,-2.3619388227725846,-1.9370047580279182,-1.5333778382176118,-1.1371350263519322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4999999152358583,1.4999999150268546,1.4999999148178513,1.4999999146771403,1.4999999146562613,1.4999999147970278,1.4999999151289292,1.4999999156716777,1.4999999164355584,1.4999999174225742,1.4999999186273283,1.4999999200379779,1.499999921637198,1.499999923403097,1.4999999253101832,1.4999999273303104,1.4999999294336013,1.4999999315894166,1.4999999337672889,1.4999999359378702,1.4999999380738647,1.4999999401510267,1.4999999421489074,1.4999999440524918,1.4999999458509095,1.4999999475451535,1.4999999491297851,1.4999999506431101,1.4999999520685148,1.499999953463458"
flat-null-r1,1,1,post_refinement,3,0.4720266288756256,3,30,nan,nan,b0f612075005d1c413b7a12a076070b5d6a76b582dfbe65fe7684b47c1064438,"-12.000629603980554,-12.000763538565858,-12.000906373999971,-11.98331151553935,-11.919335997777864,-11.783923683990167,-11.564764000654382,-11.261494067708554,-10.886249135160094,-10.460594254065287,-10.009128621141528,-9.5521091557907916,-9.1036469221456091,-8.6710921005716326,-8.2532071949424548,-7.8402196479807822,-7.4218183533964668,-6.9925330340659118,-6.5535702512426477,-6.1072540805193691,-5.6555361733180058,-5.1965360325409069,-4.7300227308723457,-4.2579648087601045,-3.7835912324717405,-3.30810334604248,-2.8311801439487381,-2.3526904270225071,-1.8736859017813825,-1.4050844749531068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4999999152736649,1.4999999150270458,1.4999999147804277,1.4999999147646643,1.4999999148616079,1.4999999150678582,1.4999999153072556,1.499999915825039,1.4999999164341182,1.4999999175397796,1.4999999185896404,1.4999999202684542,1.4999999216504376,1.4999999237529891,1.4999999252359986,1.4999999275269138,1.4999999290806212,1.4999999316187713,1.4999999333367189,1.4999999359388998,1.4999999375991058,1.4999999400038559,1.4999999415947602,1.4999999438147777,1.499999945465881,1.4999999475854318,1.4999999493935647,1.4999999512932809,1.4999999529931978,1.49999995464978"
flat-null-r1,1,1,selected,3,0.4000000000000001,3,30,0.4470551300348624,0.4470551300348624,bf39b0c7c3de647049bda0581f8e04388b96427883179b051d4b85621757693a,"-11.999980303166518,-11.999977530581928,-11.999974626909802,-12.044030981940484,-12.055868462914146,-11.952706915482686,-11.700509230017296,-11.333010307821956,-10.908035454751898,-10.467642001211921,-10.023570052018229,-9.58037260010002,-9.1438810650693085,-8.7148219838507384,-8.2838832308066728,-7.845727946353052,-7.3991265257238741,-6.9468689579269753,-6.4960561503376697,-6.0473294138129576,-5.5968154920980258,-5.1426106254456503,-4.6758128483089738,-4.1936892806284503,-3.7091362815135853,-3.2301507854268801,-2.7628504183767779,-2.3015616244231203,-1.8582403089289976,-1.4508609611197187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4999999152358583,1.4999999150268546,1.4999999148178513,1.4999999146750458,1.4999999146551566,1.4999999147946252,1.4999999151314132,1.4999999156692601,1.4999999164304367,1.4999999174278833,1.4999999186367086,1.499999920032324,1.4999999216127526,1.4999999234148149,1.4999999253515053,1.4999999273373288,1.4999999293567778,1.4999999315417776,1.4999999338289984,1.4999999360768326,1.4999999381080804,1.4999999400397683,1.4999999419591006,1.4999999439344538,1.4999999458690749,1.4999999477547015,1.4999999495849659,1.4999999513921951,1.4999999530945689,1.4999999546444345"
flat-null-r1,2,1,generated,3,0.6000000000000001,3,30,nan,nan,9df9306b119148d0bd6abc8379cd69ee5f552548cbf49ccdacd7393001a39db3,"-11.923384106370317,-11.900206914148026,-11.85382484358014,-11.070876407238089,-10.850709230709144,-10.381831571767224,-10.005831582127946,-9.597915208770333,-9.200434457202622,-8.7996527662375001,-8.3998907986772622,-7.9998193624307072,-7.5998405477761093,-7.1998343488979284,-6.7998360612387616,-6.3998358958028003,-5.9998348028355357,-5.599839024572403,-5.1998245352350541,-4.7998733678443664,-4.3997108341143605,-4.0002438099486461,-3.5985294388773319,-3.2039022796614374,-2.7876769597279676,-2.4339503778180518,-1.9145504366983042,-1.7612581587184295,-1.1828332979256884,-0.60230087381052466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4999999153012553,1.4999999149684553,1.4999999149022816,1.4999999161140205,1.4999999165842552,1.4999999176692875,1.4999999187801407,1.4999999200530192,1.4999999213479007,1.4999999231127552,1.4999999248155431,1.4999999265750266,1.4999999283806613,1.4999999304487928,1.4999999323866395,1.49999993421732,1.4999999362177019,1.4999999380436828,1.4999999398425941,1.4999999413903535,1.4999999430865152,1.4999999447550403,1.4999999463208045,1.4999999479187482,1.4999999495918419,1.4999999509110962,1.4999999530714285,1.4999999512117221,1.4999999532635011,1.4999999553214922"
flat-null-r1,2,1,optimized,3,0.6000000000000001,3,30,0.12276245468077046,0.12276245468077046,6f7b2a3d93757e7d7c80b5d3ed6468c5cdf52bb9a293754713ab5cc4706ff771,"-11.923384106370317,-11.900206914148026,-11.85382484358014,-11.648127318515909,-11.25595447080765,-10.729454028221129,-10.153623762477345,-9.6077970313494596,-9.1242187915387536,-8.7063247554972421,-8.3399983473323491,-7.9932263162407544,-7.6334553543508594,-7.2403681407900731,-6.8211087989572992,-6.3916134596587044,-5.977567347203161,-5.5885898655870019,-5.20800485878208,-4.8115999916974959,-4.396584426529917,-3.9801938200458711,-3.5814054019681976,-3.2021910242232146,-2.8274984162859513,-2.4403788598158473,-2.0449819846822872,-1.647684655916587,-1.2298323540711893,-0.76542671740427848,0,0,0,-0.062912205701040363,-0.14683073244522615,-0.17845705102635448,-0.10474905610570411,0.086036204684302828,0.37398823893872091,0.72606934468788309,1.0941791621194965,1.4211988660874453,1.6511946945109683,1.7531100741947618,1.736414540576465,1.6507088456965131,1.5647669577309153,1.5289095115728308,1.5620915730613436,1.6424077278983271,1.7247106779720853,1.7528577463057415,1.672625247162981,1.4566549169015564,1.1126740033694311,0.69609232345287986,0.30060635513270662,0.024303921839323974,-0.070920394004264656,0.03455831740844563,1.4999999153012553,1.4999999149684553,1.4999999149022816,1.499999914322949,1.4999999138950224,1.4999999146480034,1.4999999171484277,1.4999999214308324,1.4999999271165205,1.4999999335416214,1.499999939576498,1.4999999439970131,1.4999999461099769,1.499999945982033,1.4999999442474934,1.4999999417015093,1.4999999389387675,1.4999999363036689,1.499999933931063,1.499999931785692,1.499999929801046,1.4999999282337877,1.4999999279385452,1.4999999299145585,1.4999999344968284,1.4999999408432123,1.4999999472000953,1.4999999519525746,1.4999999542351328,1.4999999538776183"
flat-null-r1,2,1,optimizer_input,3,0.6000000000000001,3,30,nan,nan,9df9306b119148d0bd6abc8379cd69ee5f552548cbf49ccdacd7393001a39db3,"-11.923384106370317,-11.900206914148026,-11.85382484358014,-11.070876407238089,-10.850709230709144,-10.381831571767224,-10.005831582127946,-9.597915208770333,-9.200434457202622,-8.7996527662375001,-8.3998907986772622,-7.9998193624307072,-7.5998405477761093,-7.1998343488979284,-6.7998360612387616,-6.3998358958028003,-5.9998348028355357,-5.599839024572403,-5.1998245352350541,-4.7998733678443664,-4.3997108341143605,-4.0002438099486461,-3.5985294388773319,-3.2039022796614374,-2.7876769597279676,-2.4339503778180518,-1.9145504366983042,-1.7612581587184295,-1.1828332979256884,-0.60230087381052466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4999999153012553,1.4999999149684553,1.4999999149022816,1.4999999161140205,1.4999999165842552,1.4999999176692875,1.4999999187801407,1.4999999200530192,1.4999999213479007,1.4999999231127552,1.4999999248155431,1.4999999265750266,1.4999999283806613,1.4999999304487928,1.4999999323866395,1.49999993421732,1.4999999362177019,1.4999999380436828,1.4999999398425941,1.4999999413903535,1.4999999430865152,1.4999999447550403,1.4999999463208045,1.4999999479187482,1.4999999495918419,1.4999999509110962,1.4999999530714285,1.4999999512117221,1.4999999532635011,1.4999999553214922"
flat-null-r1,2,1,post_refinement,3,0.6000000000000001,3,30,nan,nan,6f7b2a3d93757e7d7c80b5d3ed6468c5cdf52bb9a293754713ab5cc4706ff771,"-11.923384106370317,-11.900206914148026,-11.85382484358014,-11.648127318515909,-11.25595447080765,-10.729454028221129,-10.153623762477345,-9.6077970313494596,-9.1242187915387536,-8.7063247554972421,-8.3399983473323491,-7.9932263162407544,-7.6334553543508594,-7.2403681407900731,-6.8211087989572992,-6.3916134596587044,-5.977567347203161,-5.5885898655870019,-5.20800485878208,-4.8115999916974959,-4.396584426529917,-3.9801938200458711,-3.5814054019681976,-3.2021910242232146,-2.8274984162859513,-2.4403788598158473,-2.0449819846822872,-1.647684655916587,-1.2298323540711893,-0.76542671740427848,0,0,0,-0.062912205701040363,-0.14683073244522615,-0.17845705102635448,-0.10474905610570411,0.086036204684302828,0.37398823893872091,0.72606934468788309,1.0941791621194965,1.4211988660874453,1.6511946945109683,1.7531100741947618,1.736414540576465,1.6507088456965131,1.5647669577309153,1.5289095115728308,1.5620915730613436,1.6424077278983271,1.7247106779720853,1.7528577463057415,1.672625247162981,1.4566549169015564,1.1126740033694311,0.69609232345287986,0.30060635513270662,0.024303921839323974,-0.070920394004264656,0.03455831740844563,1.4999999153012553,1.4999999149684553,1.4999999149022816,1.499999914322949,1.4999999138950224,1.4999999146480034,1.4999999171484277,1.4999999214308324,1.4999999271165205,1.4999999335416214,1.499999939576498,1.4999999439970131,1.4999999461099769,1.499999945982033,1.4999999442474934,1.4999999417015093,1.4999999389387675,1.4999999363036689,1.499999933931063,1.499999931785692,1.499999929801046,1.4999999282337877,1.4999999279385452,1.4999999299145585,1.4999999344968284,1.4999999408432123,1.4999999472000953,1.4999999519525746,1.4999999542351328,1.4999999538776183"
flat-null-r1,2,1,selected,3,0.6000000000000001,3,30,0.12276245468077046,0.12276245468077046,6f7b2a3d93757e7d7c80b5d3ed6468c5cdf52bb9a293754713ab5cc4706ff771,"-11.923384106370317,-11.900206914148026,-11.85382484358014,-11.648127318515909,-11.25595447080765,-10.729454028221129,-10.153623762477345,-9.6077970313494596,-9.1242187915387536,-8.7063247554972421,-8.3399983473323491,-7.9932263162407544,-7.6334553543508594,-7.2403681407900731,-6.8211087989572992,-6.3916134596587044,-5.977567347203161,-5.5885898655870019,-5.20800485878208,-4.8115999916974959,-4.396584426529917,-3.9801938200458711,-3.5814054019681976,-3.2021910242232146,-2.8274984162859513,-2.4403788598158473,-2.0449819846822872,-1.647684655916587,-1.2298323540711893,-0.76542671740427848,0,0,0,-0.062912205701040363,-0.14683073244522615,-0.17845705102635448,-0.10474905610570411,0.086036204684302828,0.37398823893872091,0.72606934468788309,1.0941791621194965,1.4211988660874453,1.6511946945109683,1.7531100741947618,1.736414540576465,1.6507088456965131,1.5647669577309153,1.5289095115728308,1.5620915730613436,1.6424077278983271,1.7247106779720853,1.7528577463057415,1.672625247162981,1.4566549169015564,1.1126740033694311,0.69609232345287986,0.30060635513270662,0.024303921839323974,-0.070920394004264656,0.03455831740844563,1.4999999153012553,1.4999999149684553,1.4999999149022816,1.499999914322949,1.4999999138950224,1.4999999146480034,1.4999999171484277,1.4999999214308324,1.4999999271165205,1.4999999335416214,1.499999939576498,1.4999999439970131,1.4999999461099769,1.499999945982033,1.4999999442474934,1.4999999417015093,1.4999999389387675,1.4999999363036689,1.499999933931063,1.499999931785692,1.499999929801046,1.4999999282337877,1.4999999279385452,1.4999999299145585,1.4999999344968284,1.4999999408432123,1.4999999472000953,1.4999999519525746,1.4999999542351328,1.4999999538776183"
